step,sim_time_s,active_nodes,links,delivery_ratio,avg_delay_s,avg_hops,avg_path_len,route_updates,convergence_s,avg_link_util,generated,delivered,drop_no_route,drop_loss,drop_broken,in_flight
0,5.0,105,641,0.00000,0.00000,0.000,3.000,0,-1.00,0.00002,15,0,0,0,0,15
1,10.0,105,640,1.00000,5.00000,1.000,3.150,134,-1.00,0.00002,30,1,0,0,0,29
2,15.0,105,641,1.00000,8.00000,1.600,3.150,508,-1.00,0.00002,45,5,0,0,0,40
3,20.0,105,641,0.92857,8.46154,1.692,3.325,338,-1.00,0.00002,60,13,0,1,0,46
4,25.0,105,641,0.90323,11.78571,2.357,3.051,496,-1.00,0.00002,75,28,1,2,0,44
5,30.0,105,644,0.88679,13.93617,2.787,3.050,243,-1.00,0.00002,90,47,1,5,0,37
6,35.0,105,646,0.90909,13.66667,2.733,3.000,231,-1.00,0.00002,105,60,1,5,0,39
7,40.0,105,646,0.88889,13.54167,2.708,2.975,292,-1.00,0.00002,120,72,2,7,0,39
8,45.0,105,648,0.90110,13.84146,2.768,3.154,187,-1.00,0.00002,135,82,2,7,0,44
9,50.0,105,648,0.91346,13.73684,2.747,2.872,118,-1.00,0.00002,150,95,2,7,0,46
10,55.0,105,645,0.92500,14.00901,2.802,2.975,421,-1.00,0.00002,165,111,2,7,0,45
11,60.0,105,642,0.93284,14.16000,2.832,2.950,359,-1.00,0.00002,180,125,2,7,0,46
12,65.0,105,642,0.92053,14.42446,2.885,2.700,369,-1.00,0.00002,195,139,2,10,0,44
13,70.0,105,638,0.91124,14.70779,2.942,3.100,320,-1.00,0.00002,210,154,2,13,0,41
14,75.0,105,638,0.91160,14.75758,2.952,2.850,536,-1.00,0.00002,225,165,2,14,0,44
15,80.0,105,639,0.91192,14.74432,2.949,3.000,353,-1.00,0.00002,240,176,2,15,0,47
16,85.0,105,640,0.91981,14.79487,2.959,3.275,150,-1.00,0.00002,255,195,2,15,0,43
17,90.0,105,638,0.91150,14.70874,2.942,2.825,294,-1.00,0.00002,270,206,2,18,0,44
18,95.0,105,638,0.90984,14.81982,2.964,3.075,116,-1.00,0.00002,285,222,2,20,0,41
19,100.0,105,637,0.91016,14.95708,2.991,3.100,257,-1.00,0.00002,300,233,2,21,0,44
20,105.0,105,635,0.91481,15.02024,3.004,2.800,193,-1.00,0.00002,315,247,2,21,0,45
21,110.0,105,635,0.91608,15.03817,3.008,3.275,292,-1.00,0.00002,330,262,2,22,0,44
22,115.0,105,635,0.91554,15.05535,3.011,3.300,155,-1.00,0.00002,345,271,2,23,0,49
23,120.0,105,637,0.92063,15.05172,3.010,2.925,437,-1.00,0.00002,360,290,2,23,0,45
24,125.0,105,637,0.92470,14.96743,2.993,3.225,120,-1.00,0.00002,375,307,2,23,0,43
25,130.0,105,637,0.92507,14.92212,2.984,3.150,362,-1.00,0.00002,390,321,2,24,0,43
26,135.0,105,638,0.92329,14.97033,2.994,2.725,244,-1.00,0.00002,405,337,2,26,0,40
27,140.0,105,639,0.92063,14.97126,2.994,3.275,167,-1.00,0.00002,420,348,2,28,0,42
28,145.0,105,638,0.92112,14.98619,2.997,3.100,182,-1.00,0.00002,435,362,2,29,0,42
